datetime,tweet_text,category
2026-07-14 09:00,Claude Code: 9M downloads/week. OpenClaw: 383K stars. Stars measure hype. Downloads measure usage. The gap is the story.,Data Insights
2026-07-14 12:00,The most underrated coding agent: OpenCode. 6.6M downloads/week but only 13K stars. Nobody talks about it. Everyone uses it.,Data Insights
2026-07-14 15:00,OpenClaw has 383K GitHub stars. But Claude Code has 4x more downloads. Stars != users.,Data Insights
2026-07-14 18:00,"Copilot CLI: 1M downloads/week, 11K stars. Claude Code: 9M downloads/week, 137K stars. Copilot is quietly everywhere.",Data Insights
2026-07-14 21:00,Gemini CLI hit 105K stars in weeks. Fastest-growing AI repo. But npm downloads? Still catching up.,Data Insights
2026-07-15 00:00,"The coding agent nobody talks about: Codebuff. 1.5K downloads/week, no hype. Just people using it.",Data Insights
2026-07-15 03:00,"Hermes: 213K stars, no npm package. Install via curl. Different distribution model.",Data Insights
2026-07-15 09:00,Pi.dev: 70K stars. Gitlawb Zero: 1K stars. Oh My Pi: 17K stars. The zero agents are growing fast.,Data Insights
2026-07-15 12:00,"Cline: 64K stars, no npm. VS Code extension model. Stars from IDE integration, not CLI usage.",Data Insights
2026-07-15 15:00,"Goose: 51K stars, 33 npm downloads/week. Star-to-download ratio is wild. Watching but not installing.",Data Insights
2026-07-15 18:00,"Mimo Code: 34K downloads/week, 12K stars. Xiaomi coding agent. Quiet but real.",Data Insights
2026-07-15 21:00,"AmpCode: 18K downloads/week, no public repo. Sourcegraph agent. Downloads speak louder than stars.",Data Insights
2026-07-16 00:00,I compared npm downloads across 15 coding agents. Top 3 account for 90% of installs. The long tail is real.,Data Insights
2026-07-16 03:00,GitHub stars grew 200% for AI coding agents in 2026. npm downloads grew 400%. Usage outpacing hype.,Data Insights
2026-07-16 09:00,Hermes has more stars than Codex CLI. An open-source agent outperforming OpenAI in community interest.,Data Insights
2026-07-16 12:00,GitHub stars are the new follower count. Meaningless for actual adoption. Fight me.,Hot Takes
2026-07-16 15:00,"If your coding agent doesn't have npm downloads, does it even exist?",Hot Takes
2026-07-16 18:00,The best coding agent isn't the one with the most features. It's the one people actually use. Period.,Hot Takes
2026-07-16 21:00,Hot take: Claude Code is overrated for daily use. OpenCode is better for most workflows.,Hot Takes
2026-07-17 00:00,Stars are hype. Downloads are truth. The gap is the most interesting story in AI right now.,Hot Takes
2026-07-17 03:00,The coding agent market is consolidating. Top 3 have 90% of downloads. Rest fighting for scraps.,Hot Takes
2026-07-17 09:00,Open source != popular. Closed source != dead. The coding agent market defies simple categorization.,Hot Takes
2026-07-17 12:00,"Hot take: Most coding agent reviews are useless. They compare features, not adoption.",Hot Takes
2026-07-17 15:00,Everyone talks about Claude Code. Meanwhile OpenCode has 6.6M downloads/week. Silent majority speaks.,Hot Takes
2026-07-17 18:00,Stars are easy to game. Downloads are harder. That's why I track both.,Hot Takes
2026-07-17 21:00,The most interesting metric in AI coding agents isn't stars or downloads. It's the ratio between them.,Hot Takes
2026-07-18 00:00,"The coding agent space is a perfect example of Goodhart's Law: when stars become the target, they stop being a good measure.",Hot Takes
2026-07-18 03:00,I tracked 15 AI coding agents for 30 days. Here's what the data actually shows 🧵,Thread Starters
2026-07-18 09:00,Everyone says Claude Code is the best coding agent. The data tells a different story. Thread 🧵,Thread Starters
2026-07-18 12:00,The most underrated coding agent in 2026 has 6.6M weekly downloads. Here's why nobody talks about it 🧵,Thread Starters
2026-07-18 15:00,GitHub stars are meaningless for measuring coding agent adoption. Here's what actually matters 🧵,Thread Starters
2026-07-18 18:00,"I compared npm downloads, GitHub stars, and installation methods for 15 agents. Results surprised me 🧵",Thread Starters
2026-07-18 21:00,The coding agent market is consolidating faster than you think. Top 3 have 90% of downloads. Thread 🧵,Thread Starters
2026-07-19 00:00,7 things I learned tracking 15 AI coding agents for a month 🧵,Thread Starters
2026-07-19 03:00,The star/download ratio is the most important metric in AI coding agents. Here's why 🧵,Thread Starters
2026-07-19 09:00,"Most coding agent comparisons are wrong. They compare features, not adoption. Here's how to do it right 🧵",Thread Starters
2026-07-19 12:00,I analyzed 15 coding agents across 4 data sources. Here are the 5 biggest surprises 🧵,Thread Starters
2026-07-19 15:00,The future of coding agents isn't about features. It's about adoption. Here's the data 🧵,Thread Starters
2026-07-19 18:00,The most popular coding agent isn't the one with the most stars. Here's proof 🧵,Thread Starters
2026-07-19 21:00,I tracked npm downloads for 15 coding agents. The power law distribution is real 🧵,Thread Starters
2026-07-20 00:00,"The coding agent space in 2026: stars measure hype, downloads measure usage. The gap is the story 🧵",Thread Starters
2026-07-20 03:00,Why I started tracking coding agent adoption (and what I found) 🧵,Thread Starters
2026-07-20 09:00,"How to choose a coding agent: ignore stars, check npm downloads, read the docs, try it for a week. Done.",Quick Tips
2026-07-20 12:00,"Pro tip: before installing a coding agent, check weekly npm downloads. High downloads = active community.",Quick Tips
